type;title;director;country;release_year;cast;
Movie;Chief Daddy;Niyi Akinmolayan;Nigeria;2018;Taiwo Obileye.Joke Silva.Falz The Bahd Guy.Dakore Akande.Funke Akindele.Zainab Balogun.Shaffy Bello.Ini Edo.Linda Ihuoma-Suleiman.Mawuli Gavor.Richard Mofe-Damijo.Rachael Oniga.Nkem Owoh.Patience Ozokwor;
Movie;Child's Play;Tom Holland;United States;1988;Catherine Hicks.Alex Vincent.Brad Dourif.Chris Sarandon.Dinah Manoff.Tommy Swerdlow.Jack Colvin.Neil Giuntoli.Juan Ramírez.Alan Wilder;
TV Show;Chill with Bob Ross;;;1994;Bob Ross;
Movie;China Salesman;Tan Bing;China;2017;Li Dong Xue.Mike Tyson.Steven Seagal.Janicke Askevold.Li Ai.Eriq Ebouaney.Clovis Fouin.Wang Zijian;
Movie;Chingo Bling: They Can't Deport Us All;Luis Lopez;;2017;Chingo Bling;
Movie;Chittagong;Bedabrata Pain;United States.India.Bangladesh;2012;Manoj Bajpayee.Barry John.Delzad Hiwale.Vega Tamotia.Nawazuddin Siddiqui.Rajkummar Rao.Jaideep Ahlawat.Vijay Varma.Dibyendu Bhattacharya;
Movie;Chitty Chitty Bang Bang;Ken Hughes;United Kingdom.United States;1968;Dick Van Dyke.Sally Ann Howes.Lionel Jeffries.Gert Fröbe.Anna Quayle.Benny Hill.James Robertson Justice.Robert Helpmann.Heather Ripley.Adrian Hall.Barbara Windsor.Davy Kaye.Alexander Doré.Bernard Spear.Stanley Unwin;
Movie;Chloe;Atom Egoyan;United States.Canada.France;2009;Julianne Moore.Liam Neeson.Amanda Seyfried.Max Thieriot.R.H.Thomson.Nina Dobrev.Laura de Carteret.Mishu Vellani;
Movie;Chris Brown: Welcome to My Life;Andrew Sandler;United States;2017;Chris Brown;
Movie;Christian Mingle;Corbin Bernsen;United States;2014;Lacey Chabert.Jonathan Patrick Moore.Saidah Arrika Ekulona.Stephen Tobolowsky.John O'Hurley.David Keith.Morgan Fairchild.Corbin Bernsen;
TV Show;Christiane Amanpour: Sex & Love Around the World;;United States;2018;;
Movie;Christmas Crush;Marita Grabiak;Canada.United States;2012;Rachel Boston.Jonathan Bennett.Jon Prescott.Sunny Mabrey.Julia Voth.Elizabeth Lauren Hoffman.Eileen 03.Boylan.Josh Crotty;
Movie;Christmas in the Smokies;Gary Wheeler;United States;2015;Sarah Lancaster.Barry Corbin.Alan Powell.Jill Wagner.Danny Vinson.Gregory Alan Williams.Rebecca Koon.Brett Rice;
Movie;Christmas with the Kranks;Joe Roth;United States;2004;Tim Allen.Jamie Lee Curtis.Dan Aykroyd.Erik Per Sullivan.Cheech Marin.Jake Busey.M.Emmet Walsh.Kevin Chamberlin.Elizabeth Franz.René Lavan;
Movie;Christopher Robin;Marc Forster;United States;2018;Ewan McGregor.Hayley Atwell.Bronte Carmichael.Mark Gatiss.Jim Cummings.Brad Garrett.Nick Mohammed.Peter Capaldi;
Movie;Chronicle of an Escape;Israel Adrián Caetano;Argentina;2006;Rodrigo de la Serna.Pablo Echarri.Nazareno Casero.Lautaro Delgado.Matías Marmorato.Martín Urruty.César Albarracín.Guillermo Fernandez.Daniel Di Biase;
TV Show;Chuck Chicken;;Malaysia;2017;;
Movie;Chupan Chupai;Mohsin Ali;Pakistan;2017;Ahsan Khan.Neelam Muneer.Faizan Khawaja.Ali Rizvi.Vajdaan Shah.Zayed Sheikh.Talat Hussain.Javed Sheikh;
Movie;Chupke Chupke;Hrishikesh Mukherjee;India;1975;Dharmendra.Sharmila Tagore.Amitabh Bachchan.Jaya Bhaduri.Om Prakash.Asrani.David Abraham.Usha Kiran.Lily Chakravarty.Keshto Mukherjee;
Movie;Cirque du Freak: The Vampire's Assistant;Paul Weitz;United States;2009;John C.Reilly.Ken Watanabe.Josh Hutcherson.Chris Massoglia.Ray Stevenson.Patrick Fugit.Orlando Jones.Willem Dafoe.Salma Hayek.Michael Cerveris.Jane Krakowski.Frankie Faison.Patrick Breen.Colleen Camp.Don McManus.Jessica Carlson.Kristen Schaal;
TV Show;City in the Sky;;United Kingdom;2016;;
Movie;City of God;Fernando Meirelles.Katia Lund;Brazil.France.Germany;2002;Alexandre Rodrigues.Leandro Firmino.Phellipe Haagensen.Douglas Silva.Jonathan Haagensen.Matheus Nachtergaele.Seu Jorge.Jefechander Suplino.Alice Braga;
Movie;City of Tiny Lights;Pete Travis;United Kingdom;2016;Riz Ahmed.Billie Piper.James Floyd.Cush Jumbo.Roshan Seth.Hannah Rae.Antonio Aakeel.George Sargeant.Alexander Siddig.Vincent Regan.Barry Aird;
TV Show;Civilizations;;United Kingdom;2018;;
Movie;Clarence Clemons: Who Do I Think I Am?;Nick Mead;United States;2019;Clarence Clemons;
Movie;Clash of the Titans;Louis Leterrier;United States.United Kingdom.Australia;2010;Sam Worthington.Liam Neeson.Ralph Fiennes.Jason Flemyng.Gemma Arterton.Alexa Davalos.Tine Stapelfeldt.Mads Mikkelsen.Luke Evans;
Movie;Class of '61;Gregory Hoblit;United States;1993;Christien Anholt.Andre Braugher.Dan Futterman.Josh Lucas.Clive Owen.Sophie Ward.Sue-Ann Leeds.Laura Linney;
Movie;Class Rank;Eric Stoltz;United States;2018;Olivia Holt.Skyler Gisondo.Kristin Chenoweth.Bruce Dern.Nick Krause.Kathleen Chalfant.Peter Maloney.Rod McLachlan.Hawn Tran.Danni Wang;
TV Show;Classic Legends;;India;2012;Javed Akhtar;
Movie;Cleopatra Jones;Jack Starrett;United States;1973;Tamara Dobson.Bernie Casey.BrendaSykes.Esther Rolle.Shelley Winters;
Movie;Click;Frank Coraci;United States;2006;Adam Sandler.Kate Beckinsale.Christopher Walken.David Hasselhoff.Henry Winkler.Julie Kavner.Sean Astin.Joseph Castanon.Jonah Hill.Jake Hoffman.Jennifer Coolidge;
TV Show;Click for Murder;;United Kingdom;2017;Donal MacIntyre;
Movie;Clive Davis: The Soundtrack of Our Lives;Chris Perkel;United States;2017;Clive Davis;
Movie;Closed Circuit;John Crowley;United Kingdom.United States;2013;Eric Bana.Rebecca Hall.Ciarán Hinds.Riz Ahmed.Anne-Marie Duff.Kenneth Cranham.Julia Stiles.Jim Broadbent.Denis Moschitto.Barbora Bobulova.Jemma Powell;
Movie;Cloud Atlas;Lilly Wachowski.Lana Wachowski.Tom Tykwer;Germany.United States.Hong Kong.Singapore;2012;Tom Hanks.Halle Berry.Jim Broadbent.Hugo Weaving.Jim Sturgess.Doona Bae.Ben Whishaw.Keith David.James D'Arcy.Zhou Xun;
Movie;Clouds of Sils Maria;Olivier Assayas;France.Germany.Switzerland;2014;Juliette Binoche.Kristen Stewart.Chloë Grace Moretz.Lars Eidinger.Johnny Flynn.Angela Winkler.Hanns Zischler.Brady Corbet;
Movie;Cloverfield;Matt Reeves;United States;2008;Lizzy Caplan.Jessica Lucas.T.J.Miller.Michael Stahl-David.Mike Vogel.Odette Annable.Anjul Nigam.Margot Farley.Theo Rossi.Brian Klugman;
TV Show;Club Friday The Series 6;;;2015;Puttichai Kasetsin.Kongtoranin Lalana.Preechaya Pongthananikorn;
TV Show;Club Friday The Series 7;;;2016;Sornram Tappituk.Amy Amika Klinprathum.Tanya Liyah.Shaun Jindachote.Four Sakolrat Wornurai.Toomtam Yuthana Puengklarng.Monchanok Saengchaipiangpen.Nat Myria Benedetti.Oil Thana Suttikamul.View Wannarot Sontichai.Pimthong Washirakom;
TV Show;Club Friday The Series 8;;;2017;Chutavuth Pattarakampol.Focus Jirakul.Sattaphong Phiangphor.Toni Rakkaen.Paula Taylor.Virithipa Phakdeeprasong.Pakkaramai Potranan;
TV Show;Club Friday To Be Continued - Friend & Enemy;;;2016;Wanida Termthanaporn.Apinya Sakuljaroensuk.Golf Pichaya Nitipaisankul.Thassapak Hsu;
TV Show;Club Friday To Be Continued - My Beautiful Tomboy;;;2016;Puttichai Kasetsin.Lalana Kongtoranin;
TV Show;Club Friday To Be Continued - The Promise;;;2016;Jirayu La-ongmanee.Focus Jirakul;
Movie;Coach Carter;Thomas Carter;United States.Germany;2005;Samuel L.Jackson.Rob Brown.Robert Ri'chard.Rick Gonzalez.Nana Gbewonyo.Antwon Tanner.Channing Tatum.Ashanti.Texas Battle.Denise Dowse.Debbi Morgan;
Movie;Code Name: The Cleaner;Les 05.field;United States;2007;Cedric the Entertainer.Lucy Liu.Nicollette Sheridan.Mark Dacascos.Callum Keith Rennie.DeRay Davis.Niecy Nash.Will Patton;
Movie;Coffee with D;Vishal Mishra;India;2017;Sunil Grover.Zakir Hussain.Anjana Sukhani.Dipannita Sharma.Pankaj Tripathi.Rajesh Sharma.Vinod Ramani.Guru Singh;
TV Show;Cold Case Files;;United States;2017;;
TV Show;Cold Case Files Classic;;United States;1999;Bill Kurtis;
Movie;Colkatay Columbus;Saurav Palodhi;India;2016;Mir Afsar Ali.Gaurav Chakrabarty.Tanusree Chakraborty.Anirban Bhattacharya.Ritabhari Chakraborty.Suchandra Vaaniya.Arijit Dutt;
Movie;Colonia;Florian Gallenberger;Germany.France.Luxembourg.United Kingdom.United States;2015;Emma Watson.Daniel Brühl.Michael Nyqvist.Richenda Carey.Vicky Krieps.Jeanne Werner.Julian Ovenden.August Zirner.Martin Wuttke.Stefan Merki;
Movie;Colours of Passion;Ketan Mehta;India;2008;Randeep Hooda.Nandana Sen.Jim Boeven.Paresh Rawal.Tom Alter.Vikram Gokhale.Vipin Sharma.Gaurav Dwivedi;
Movie;Come and Find Me;Zack Whedon;Canada.United States.United Kingdom;2016;Aaron Paul.Annabelle Wallis.Garret Dillahunt.Chris Chalk.Zachary Knighton.Enver Gjokaj.Michael Kopsa.Terry Chen;
TV Show;Comedy Bang! Bang!;;United States;2016;Scott Aukerman.Reggie Watts;
TV Show;Comedy High School;;;2018;Ram Kapoor.Gopal Dutt.Paritosh Tripathi.Krishna Bhatt.Jasmeet Bhatia.Deepak Dutta.Parvati Sehgal.Surleen Kaur;
Movie;Command and Control;Robert Kenner;United States;2017;;
Movie;Company;Ram Gopal Varma;India;2002;Ajay Devgn.Vivek Oberoi.Mohanlal.Manisha Koirala.Seema Biswas.Antara Mali.Akash Khurana.Madan Joshi.Vijay Raaz.Rajpal Yadav;
Movie;Compulsion;Craig Goodwill;United Kingdom.Canada.Italy;2016;Analeigh Tipton.Jakob Cedergren.Marta Gastini.Jan Bijvoet.Anita Kravos.Valentin Merlet;
TV Show;Conan Without Borders;;United States;2018;;
Movie;Concrete Football;Jesse Adang.Syrine Boulanouar;Czech Republic.France;2016;;
Movie;Concussion;Stacie Passon;United States;2013;Robin Weigert.Maggie Siff.Johnathan Tchaikovsky.Ben Shenkman.Janel Moloney.Emily Kinney;
Movie;Conjuring Spirit;Van M.Pham;Vietnam;2014;Phuong Mai.Quang Su.Hoang Phuc Nguyen.Chi Pu.Tien Pham.Hoai An;
Movie;Conor McGregor: Notorious;Gavin Fitzgerald;Ireland;2017;Conor McGregor;
Movie;Consequences ;Ozan Açıktan;Turkey;2014;Nehir Erdoğan.Tardu Flordun.İlker Kaleli.Serkan Keskin.Esra Bezen Bilgin.Aytaç Uşun.Cem Özeren.Caner Arçkan;
Movie;Contract;Ram Gopal Varma;India;2008;Adhvik Mahajan.Prasad Purandhare.Sakshi Gulati.Zakir Hussain.Amruta Subhash.Kishore Kadam.Sumeet Nijhawan.Upyendra Li05.e;
Movie;Convict;Abdul Aziz Hashad;;2014;Bassem Samra.Ahmad Wafiq.Ahmed Azmy.Dina Fouad.Mohamed Sharaf.Ahmed Rateb.Maha Sabry.Diaa El Merghany.Inas Ezz El Din.Said Tarabeek;
TV Show;Cooking on High;;United States;2018;Josh Leyva.Ngaio Bealum;
Movie;Cool Hand Luke;Stuart Rosenberg;United States;1967;Paul Newman.George Kennedy.J.D.Cannon.Lou Antonio.Robert Drivas.Strother Martin.Jo Van Fleet.Harry Dean Stanton.Dennis Hopper.Joe Don Baker.James Gammon.Wayne Rogers;
Movie;Cop and a Half: New Recruit;Jon Rosenbaum;Canada;2017;Lou Diamond Phillips.Lulu Wilson.Giles Panton.Janet Kidder.Michael Coleman.Wallace Shawn.Gina Holden.Jordyn Ashley Olson.Vincent Tong.Reese Alexander;
Movie;Cop Watchers;Ben Steele;;2016;;
Movie;Coraline;Henry Selick;United States;2009;Dakota Fanning.Teri Hatcher.John Hodgman.Jennifer Saunders.Dawn French.Keith David.Robert Bailey Jr..Ian McShane;
Movie;Counterfeiting in Suburbia;Jason Bourque;Canada;2018;Sarah Butler.Larissa Albuquerque.Kayla Wallace.Matthew MacCaull.James Dean.Alison Wandzura.Bruce Blain.Natalie Grace.Phillip Mitchell;
TV Show;Court Justice;;Australia;2017;Chris Bourke;
Movie;Covered: Alive in Asia;Micah Bickham.Galley Molina;United States;2016;Israel Houghton;
Movie;Crash;Paul Haggis;United States.Germany;2004;Sandra Bullock.Don Cheadle.Matt Dillon.Jennifer Esposito.William Fichtner.Brendan Fraser.Terrence Howard.Ludacris.Thandie Newton.Ryan Phillippe.Larenz Tate.Nona Gaye.Michael Peña;
Movie;CRD;Kranti Kanade;India;2016;Mrin05.ee Godbole.Vinay Sharma.Saurabh Saraswat.Isha Keskar.Abhay Mahajan.Geetika Tyagi;
TV Show;Crime Time;;France;2017;Augusto Madeira.Érico Brás.Gustavo Machado.Dionisio Neto.Fernanda Vianna.Georgina Castro.Leo Miranda.Marat Descartes.Mauricio Tarcinalli Barros.Sabrina Greve.Sérgio Malheiros;
Movie;Crouching Tiger.Hidden Dragon;Ang Lee;Taiwan.Hong Kong.United States.China;2000;Chow Yun Fat.Michelle Yeoh.Zhang Ziyi.Chang Chen.Lung Hsiung.Cheng Pei-pei.Fa Zeng Li.Xian Gao.Yan Hai.De Ming Wang;
Movie;Cult of Chucky;Don Mancini;United States;2017;Fiona Dourif.Michael Therriault.Adam Hurtig.Alex Vincent.Jennifer Tilly.Brad Dourif.Summer H.Howell.Grace Lynn Kung.Elisabeth Rosen.Zak Santiago.Ali Tataryn;
Movie;Cutie and the Boxer;Zachary Heinzerling;United States;2013;Noriko Shinohara.Ushio Shinohara;
Movie;Daagdi Chaawl;Chandrakant Kanse;India;2015;Ankush Chaudhari.Makrand Deshpande.Pooja Sawant.Sanjay Khapre.Yatin Karyekar.Kamlesh Sawant.Sandeep Gaikwad.Digvijay Rohidas;
Movie;Dabbe 6: The Return;Hasan Karacadağ;Turkey;2015;Sema Şimşek.Nilay Gök.Volkan Ünal.Fehmi Karaarslan.Elçin Atamgüç.Ömer Duran.Murat Seviş.Aybike Turan.Burak Çimen;
Movie;Dad;Gary David Goldberg;United States;1989;Jack Lemmon.Ted Danson.Olympia Dukakis.Kathy Baker.Kevin Spacey.Ethan Hawke.Zakes Mokae.J.T.Walsh.Peter Michael Goetz.John Apicella.Richard McGonagle.Bill Morey.Mary Fogarty;
TV Show;Dad's Army;;United Kingdom;1977;Arthur Lowe.John Le Mesurier.Clive Dunn.John Laurie.Arnold Ridley.Ian Lavender.James Beck.Bill Pertwee;
Movie;Daddy Day Care;Steve Carr;United States;2003;Eddie Murphy.Jeff Garlin.Steve Zahn.Regina King.Anjelica Huston.Kevin Nealon.Jonathan Katz.Siobhan Fallon Hogan.Lisa Edelstein.Lacey Chabert.Laura Kightlinger.Leila Arcieri;
Movie;Daddy Issues;Amara Cash;United States;2019;Madison Lawlor.Montana Manning.Andrew Pifko.Monte Markham.Kamala Jones.Jodi Carol Harrison.Seth Cassell.Ronnie Clark.Lissa Danshaw.J.J.Hawkins;
Movie;Daemonium;Pablo Parés;Argentina;2015;Walter Cornás.Dany Casco.Caro Angus.Rocío Rodríguez Presedo.Chucho Fernández.Amanda Nara.Maite Zumelzú;
Movie;Daffedar;Johnson Esthappan;India;2017;Tini Tom.Malavikka.Sudheer Karamana.Indrans;
Movie;Dagh Ujala;Raj Amit Kumar;United States.India;2015;Victor Banerjee.Adil Hussain.Bhanu Uday.Preeti Gupta.Bhavani Lee.Ankur Vikal.Seema Rahmani.Samrat Chakrabarti;
Movie;Dallas Buyers Club;Jean-Marc Vallée;United States;2013;Matthew McConaughey.Jennifer Garner.Jared Leto.Denis O'Hare.Steve Zahn.Michael O'Neill.Dallas Roberts.Griffin Dunne.Kevin Rankin.Donna DuPlantier;
TV Show;Dance Academy;;Australia;2013;Xenia Goodwin.Alicia Banit.Dena Kaplan.Isabel Durant.Thom Green.Jordan Rodrigues.Thomas Lacey.Tim Pocock.Tara Morice;
Movie;Dance Academy: The Comeback;Jeffrey Walker;Germany.Australia;2017;Xenia Goodwin.Alicia Banit.Dena Kaplan.Jordan Rodrigues.Keiynan Lonsdale.Thomas Lacey.Tara Morice.Miranda Otto;
Movie;Dancing Quietly;Philipp Eichholtz;Germany;2016;Martina Schöne-Radunski.Hans-Heinrich Hardt.Sebastian Fräsdorf.Claudia Jacob.Deleila Piasko.Tobias Borchers.Ruth Bickelhaupt;
TV Show;Dandy;;Mexico;2016;Alfonso Herrera.Damián Alcázar.Gabriela Roel.Itahisa Machado.Dagoberto Gama.Hernán Mendoza.Daniel Martínez.Christian Vasquez.Aleyda Gallardo.Danny Perea.Pakey Vázquez.Fátima Molina.Héctor Holten.Carlos Valencia;
TV Show;Dangerous Roads;;United Kingdom;2012;Adrian Dunbar.Sue Perkins.Charley Boorman.Rhod Gilbert.Greg Davies.Ben Fogle.Hugh Dennis.Ed Byrne.Andy Parsons.Liza Tarbuck.David Baddiel;
Movie;Danny Says;Brendan Toller;United States;2015;Danny Fields.Iggy Pop.Alice Cooper.Judy Collins.Tommy Ramone.Jac Holzman.Lenny Kaye.Wayne Kramer.John Cameron Mitchell.Jann Wenner;
Movie;Dante's Peak;Roger Donaldson;United States;1997;Pierce Brosnan.Linda Hamilton.Elizabeth Hoffman.Jamie Renée Smith.Jeremy Foley.Charles Hallahan.Grant Heslov.Kirk Trutner.Arabella Field.Tzi Ma;
Movie;Dare to Be Wild;;Ireland;2015;;
Movie;Dark Chocolate (Bengali Version);Agnidev Chatterjee;India;2016;Riya Sen.Mahima Chaudhry.Rajesh Sharma.Indrasish Roy.Mumtaz Sorcar.Sudip Mukherjee.Shataf Figar.Koushik Sen;
Movie;Dark Crimes;Alexandros Avranas;United Kingdom.Poland.United States;2016;Jim Carrey.Marton Csokas.Charlotte Gainsbourg.Agata Kulesza.Kati Outinen.Zbigniew Zamachowski.Danuta Kowalska.Vlad Ivanov.Robert Więckiewicz.Piotr Głowacki;
Movie;Dark Places;Gilles Paquet-Brenner;United States.United Kingdom.France;2015;Charlize Theron.Nicholas Hoult.Chloë Grace Moretz.Tye Sheridan.Sterling Jerins.Corey Stoll.Christina Hendricks.Drea de Matteo.Sean Bridgers.Andrea Roth;
Movie;Darna Mana Hai;Prawal Raman;India;2003;Aftab Shivdasani.Antara Mali.Boman Irani.Isha Koppikar.Nana Patekar.Raghuvir Yadav.Rajpal Yadav.Revathy.Saif Ali Khan.Sameera Reddy.Sanjay Kapoor.Shilpa Shetty.Sohail Khan.Vivek Oberoi;
TV Show;Darr Sabko Lagta Hai;;India;2015;Bipasha Basu;
Movie;Darra;Parveen Kumar;India;2016;Gurpreet Ghuggi.Happy Raikoti.Kartar Cheema.Sardar Sohi.Shavendra Mahal.Karamjit Anmol.Pammi Bai.Nirmal Rishi.Manpreet Saggu;
Movie;Daughters of the Dust;Julie Dash;United Kingdom.United States;1991;Cora Lee Day.Alva Rogers.Barbarao.Trula Hoosier.Adisa Anderson.Kaycee Moore.Bahni Turpin.Cheryl Lynn Bruce.Tommy Redmond Hicks.Cornell Royal;
TV Show;Day and Night;;China;2017;Pan Yueming.Wang Longzheng.Liang Yuen.Lü Xiaolin.Yin Shuyi.Hou Xuelong.Song Naigang;
TV Show;Days We Stared at the Sun;;Taiwan;2017;Sean Huang.Chang Chia-yu.Wu Chien-ho.Teresa Daley.Yong Lea.Edison Song.Shan Cheng-ju.Iris Hu.Hsia Teng-hung;
Movie;Dayveon;Amman Abbasi;United States;2017;"Devin Blackmon.Dontrell Bright.Kordell ""KD"" Johnson.Lachion Buckingham.Chasity Moore.Marquell Manning.Shavidee Trotter.Maurice Everett";
Movie;De Film van Dylan Haegens;Dylan Haegens.Bas van Teylingen;Netherlands;2018;Dylan Haegens.Nick Golterman.Marit Brugman.Ilse Warringa.Teun Peters.Patrick Stoof.Rick Vermeulen.Rico Verhoeven;
Movie;De Palma;Noah Baumbach.Jake Paltrow;United States;2015;Brian De Palma;
Movie;Dead in a Week (Or Your Money Back);Tom Edmunds;United Kingdom;2018;Tom Wilkinson.Aneurin Barnard.Freya Mavor.Marion Bailey.Christopher Eccleston.Nigel Lindsay.Velibor Topic;
Movie;Deadline: Sirf 24 Ghante;Tanveer Khan;India;2006;Irrfan Khan.Konkona Sen Sharma.Rajit Kapoor.Sandhya Mridul.Zakir Hussain.Rajeev Verma.Princey Shukla;
Movie;Deadly Scholars;Danny J.Boyle;United States;2018;Kennedy Lea Slocum.Corey Fogelmanis.Alexa Mansour.Peyton Clark.Sheryl Lee.Sherri Saum.Eric Stanton Betts.Paris Berelc.Pedro Correa.Alissa Latow;
Movie;Dean;Demetri Martin;United States;2016;Demetri Martin.Kevin Kline.Gillian Jacobs.Rory Scovel.Ginger Gonzaga.Reid Scott.Mary Steenburgen.Briga Heelan.Christine Woods.Peter Scolari;
Movie;Dear Dad;Tanuj Bhramar;India;2016;Arvind Swamy.Himanshu Sharma.Ekavali Khanna.Aman Uppal.Bhavika Bhasin;
Movie;Dear Dracula;Chad Van De Keere;United States;2012;Nathan Gamble.Ray Liotta.Emilio Estevez.Ariel Winter.Matthew Lillard.Yuri Lowenthal.Marion Ross.Tara Strong;
Movie;Dear Santa;Jason Priestley;Canada;2011;Amy Acker.David Haydn-Jones.Patrick Creery.Gina Holden.James Dugan.Margherita Donato.Brooklynn Proulx.James D.Hopkin.Bob Irvine;
Movie;Death at a Funeral;Neil LaBute;United States;2010;Chris Rock.Martin Lawrence.Tracy Morgan.Danny Glover.James Marsden.Luke Wilson.Zoe Saldana.Regina Hall.Columbus Short.Peter Dinklage.Kevin Hart.Loretta Devine.Regine Nehy.Keith David.Ron Glass;
Movie;Death House;Harrison Smith;United States;2017;Cody Longo.Cortney Palm.Adrienne Barbeau.Michael Berryman.Barbara Crampton.Sid Haig.Gunnar Hansen.Lindsay Hartley.Kane Hodder.Lloyd Kaufman.Camille Keaton.Bill Moseley.Tony Todd.Dee Wallace.Vincent Ward.Vernon Wells;
Movie;Deathgrip;Clay Porter;United Kingdom;2017;Brendan Fairclough.Olly Wilkins.Kyle Jameson.Andrew Neethling.Nico Vink.Ryan Howard.Sam Hill.Josh Bryceland.Brandon Semenuk;
TV Show;Deep Undercover Collection;;United States;2017;Dave B.Mitchell;
TV Show;Deep Water;;Australia;2016;Noah Taylor.Yael Stone.Jeremy Lindsay Taylor.Danielle Cormack.Ben Oxenbould.Dan Spielman.Craig McLachlan.William McInnes.Olivia McNamara.John Brumpton.Simon Burke.Simon Elrahi.Victoria Haralabidou.Renee Lim.Julian Maroun.George Harrison Xanthis;
Movie;Deewangee;Anees Bazmee;India;2002;Ajay Devgn.Akshaye Khanna.Urmila Matondkar.Farida Jalal.Vijayendra Ghatge;
Movie;Defying the Nazis: The Sharps' War;Ken Burns.Artemis Joukowsky;United States;2016;Tom Hanks.Marina Goldman;
Movie;Delirium;Dennis Iliadis;United States;2018;Topher Grace.Genesis Rodriguez.Patricia Clarkson.Callan Mulvey.Robin Thomas.Daisy McCrackin;
Movie;Democrats;Camilla Nielsson;Denmark.Zimbabwe;2014;;
Movie;Den of Thieves;Christian Gudegast;United States;2018;Gerard Butler.Pablo Schreiber.O'Shea Jackson Jr..50 Cent.Meadow Williams.Maurice Compte.Brian Van Holt.Evan Jones.Mo McRae.Kaiwi Lyman;
Movie;Denis Leary: No Cure For Cancer;Ted Demme;United States;1992;Denis Leary;
Movie;Desolate;Frederick Cipoletti;;2018;Will Brittain.Callan Mulvey.Tyson Ritter.Bill Tangradi.Natasha Bassett.James Russo.Jonathan Rosenthal.Juston Street.Mark Kassen.Takuya Iba.Michael Rhys Kan.Jack Conley.Trieu Tran;
Movie;Desolation;Sam Patton;United States;2017;Jaimi Paige.Alyshia Ochse.Toby Nichols.Claude Duhamel;
Movie;Detention Letter;Mohamed Samy;Egypt;2017;Mohamed Ramadan.Dina El-Sherbiny.Eyad Nassar.Sayed Rajab.Walid Fawaz.Eman El-Assy;
Movie;Detour;Christopher Smith;United Kingdom.South Africa;2016;Tye Sheridan.Bel Powley.Emory Cohen.Gbenga Akinnagbe.Jared Abrahamson.John Lynch.Stephen Moyer;
Movie;Deviant Love;Michael Feifer;United States;2019;Emma Bell.Nick Ballard.Bradley Bundlie.Gail O'Grady.Corbin Timbrook.Kate Lang Johnson.Robert Adamson.Caia Coley.Alicia James.Sotida Arpon;
Movie;Devil's Bride;Saara Cantell;Finland.Sweden.Norway.Latvia.Germany;2016;Tuulia Eloranta.Magnus Krepper.Elin Petersdottir.Claes Malmberg.Kaija Pakarinen.Antti Reini.Lauri Tanskanen.Johanna af Schultén.Maria Sid.Pirkko Hämäläinen.Sonja Halla-aho;
Movie;Devil's Gate;Clay Staub;Canada;2017;Amanda Schull.Milo Ventimiglia.Shawn Ashmore.Bridget Regan.Jonathan Frakes.Sarah Constible.Spencer Drever.Javier Botet;
TV Show;Devlok with Devdutt Pattanaik;;India;2017;Rasika Dugal.Devdutt Pattanaik;
Movie;Devrai;Sumitra Bhave.Sunil Sukthankar;India;2004;Atul Kulkarni.Sonali Kulkarni.Tushar Dalvi.Devika Daftardar.Amruta Subhash.Mohan Agashe.Ashwin Chitale.Jyoti Subhash;
TV Show;Dexter;;United States;2013;Michael C.Hall.Jennifer Carpenter.David Zayas.James Remar.C.S.Lee.Lauren Vélez.Desmond Harrington.Julie Benz.Christina Robinson.Geoff Pierson;
